userid,movieid,date_watch,time_watch,minutes,date_rate,time_rate,rating
122183,raising+arizona+1987,2022-08-11,20:23:23,92,2022-08-11,20:27:16,4
79445,the+piano+1993,2022-08-11,19:29:59,99,2022-08-11,19:54:12,3
67863,forrest+gump+1994,2022-08-11,20:39:23,96,2022-08-11,21:27:26,4
179877,101+dalmatians+1996,2022-08-11,20:02:43,99,2022-08-11,20:08:37,5
224353,the+empire+strikes+back+1980,2022-08-11,21:10:10,99,2022-08-11,21:37:01,4
48199,nine+months+1995,2022-08-11,21:29:02,99,2022-08-11,21:34:55,3
204946,popeye+1980,2022-08-11,23:13:56,75,2022-08-11,23:24:19,2
158488,the+man+with+the+golden+gun+1974,2022-08-11,23:47:26,99,2022-08-12,00:15:37,4
158488,the+man+with+the+golden+gun+1974,2022-08-12,00:13:34,125,2022-08-12,00:15:37,4
199176,chasing+amy+1997,2022-08-11,23:32:45,4,2022-08-12,01:24:06,4
199176,chasing+amy+1997,2022-08-12,01:23:08,114,2022-08-12,01:24:06,4
91735,sleepless+in+seattle+1993,2022-08-12,02:40:45,100,2022-08-12,02:47:43,3
160238,harry+potter+and+the+philosophers+stone+2001,2022-08-12,04:46:26,153,2022-08-12,04:47:26,5
67973,meet+joe+black+1998,2022-08-12,05:32:24,179,2022-08-12,05:33:23,3
222459,my+neighbor+totoro+1988,2022-08-12,05:41:23,87,2022-08-12,05:42:20,5
9998,dogma+1999,2022-08-12,07:30:19,12,2022-08-12,07:31:23,1
184180,philadelphia+1993,2022-08-12,13:30:33,98,2022-08-12,14:00:03,5
30606,the+secret+garden+1993,2022-08-12,15:43:40,98,2022-08-12,15:49:42,5
217413,full+metal+jacket+1987,2022-08-12,15:47:01,99,2022-08-12,16:05:59,4
198286,knocked+up+2007,2022-08-12,15:50:43,99,2022-08-12,16:22:29,4
224353,the+da+vinci+code+2006,2022-08-12,16:37:32,99,2022-08-12,17:30:12,3
75955,local+hero+1983,2022-08-12,16:45:31,99,2022-08-12,16:59:17,5
128857,die+hard+with+a+vengeance+1995,2022-08-12,19:23:28,98,2022-08-12,19:55:56,4
228702,the+man+who+would+be+king+1975,2022-08-12,19:38:41,99,2022-08-12,20:11:14,4
142240,the+big+lebowski+1998,2022-08-12,19:10:16,3,2022-08-12,19:11:15,3
110930,braveheart+1995,2022-08-12,21:27:56,98,2022-08-12,22:49:46,5
67973,great+expectations+1998,2022-08-12,20:27:31,9,2022-08-12,20:36:33,3
194607,prisoners+2013,2022-08-12,23:02:29,98,2022-08-12,23:58:59,4
94250,batman+forever+1995,2022-08-12,23:08:04,98,2022-08-12,23:33:23,3
152229,american+history+x+1998,2022-08-12,23:12:50,92,2022-08-12,23:41:53,4
22086,fargo+1996,2022-08-12,23:57:43,91,2022-08-13,00:06:46,5
22086,fargo+1996,2022-08-13,00:05:44,99,2022-08-13,00:06:46,5
217413,shadows+of+forgotten+ancestors+1965,2022-08-12,23:59:50,32,2022-08-13,01:06:37,4
217413,shadows+of+forgotten+ancestors+1965,2022-08-13,01:05:40,98,2022-08-13,01:06:37,4
30606,babe+1995,2022-08-12,23:47:52,9,2022-08-13,01:09:25,5
30606,babe+1995,2022-08-13,01:07:25,89,2022-08-13,01:09:25,5
104243,analyze+this+1999,2022-08-12,23:57:55,7,2022-08-13,01:35:42,4
104243,analyze+this+1999,2022-08-13,01:33:41,103,2022-08-13,01:35:42,4
184180,star+trek+generations+1994,2022-08-13,02:10:37,119,2022-08-13,02:11:37,5
228702,g.i.+jane+1997,2022-08-13,00:41:18,14,2022-08-13,00:44:18,1
7079,memento+2000,2022-08-13,04:10:24,113,2022-08-13,04:12:22,4
37505,beetlejuice+1988,2022-08-13,06:27:44,23,2022-08-13,06:43:22,3
198286,multiplicity+1996,2022-08-13,08:55:13,102,2022-08-13,08:57:14,1
6996,chasing+amy+1997,2022-08-13,14:14:50,98,2022-08-13,14:31:45,3
103888,mrs.+doubtfire+1993,2022-08-13,15:43:54,98,2022-08-13,16:12:37,2
94016,the+lost+world+jurassic+park+1997,2022-08-13,15:47:08,99,2022-08-13,16:19:42,2
52204,heat+1995,2022-08-13,18:00:34,170,2022-08-13,18:02:29,4
199176,men+in+black+1997,2022-08-13,16:48:47,99,2022-08-13,16:49:47,3
9998,house+of+flying+daggers+2004,2022-08-13,17:39:23,99,2022-08-13,18:01:06,3
189414,penny+serenade+1941,2022-08-13,18:01:56,74,2022-08-13,18:48:58,5
136981,drop+zone+1994,2022-08-13,18:48:40,96,2022-08-13,18:55:40,3
160238,independence+day+1996,2022-08-13,19:00:22,98,2022-08-13,19:49:56,4
99059,beauty+and+the+beast+1991,2022-08-13,18:38:45,76,2022-08-13,18:48:36,4
75955,die+hard+1988,2022-08-13,19:08:59,98,2022-08-13,19:44:04,4
213162,groundhog+day+1993,2022-08-13,17:57:59,22,2022-08-13,17:59:53,4
52043,district+9+2009,2022-08-13,20:52:38,92,2022-08-13,21:14:49,4
213162,88+minutes+2007,2022-08-13,22:03:45,97,2022-08-13,22:16:35,4
37505,tommy+boy+1995,2022-08-13,22:18:24,98,2022-08-13,22:19:24,4
179877,twister+1996,2022-08-13,23:06:37,99,2022-08-13,23:22:40,3
187199,star+wars+episode+i+-+the+phantom+menace+1999,2022-08-13,23:40:28,99,2022-08-14,00:19:43,2
187199,star+wars+episode+i+-+the+phantom+menace+1999,2022-08-14,00:17:40,136,2022-08-14,00:19:43,2
198286,hannibal+rising+2007,2022-08-13,23:58:10,79,2022-08-14,00:42:36,4
198286,hannibal+rising+2007,2022-08-14,00:39:31,120,2022-08-14,00:42:36,4
194607,the+shawshank+redemption+1994,2022-08-13,23:59:49,79,2022-08-14,01:04:22,4
194607,the+shawshank+redemption+1994,2022-08-14,01:02:24,142,2022-08-14,01:04:22,4
189746,showgirls+1995,2022-08-13,23:59:21,70,2022-08-14,00:59:36,4
189746,showgirls+1995,2022-08-14,00:58:36,129,2022-08-14,00:59:36,4
126484,the+wizard+of+oz+1939,2022-08-14,01:43:01,99,2022-08-14,01:47:55,3
164583,demolition+man+1993,2022-08-14,02:31:16,115,2022-08-14,02:33:14,4
162471,the+addams+family+1991,2022-08-14,02:53:17,100,2022-08-14,02:54:18,4
20325,glory+1989,2022-08-14,03:48:41,123,2022-08-14,03:49:41,5
83359,showgirls+1995,2022-08-14,06:03:26,124,2022-08-14,06:09:22,2
110930,shakespeare+in+love+1998,2022-08-14,06:19:52,123,2022-08-14,06:20:51,4
63601,garden+state+2004,2022-08-14,06:13:21,103,2022-08-14,06:14:16,4
141041,the+station+agent+2003,2022-08-14,06:30:29,88,2022-08-14,06:32:26,5
175655,roman+holiday+1953,2022-08-14,07:08:36,119,2022-08-14,07:10:33,4
213624,psycho+1998,2022-08-14,10:59:17,99,2022-08-14,11:07:21,2
218573,fast+times+at+ridgemont+high+1982,2022-08-14,12:27:02,91,2022-08-14,12:28:01,4
